time	V(comp_in)	V(out)	V(tube)
Step Information: Rpot=15K  (Step: 1/6)
2.446445830662755e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.456685830662694e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.466925830662633e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.477165830662573e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.487405830662512e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.497645830662451e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.507885830662390e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.518125830662329e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.528365830662268e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.538605830662208e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.548845830662147e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.559085830662086e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.569325830662025e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.579565830661964e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.589805830661904e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.600045830661843e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.610285830661782e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.620525830661721e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.630765830661660e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.641005830661599e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.651245830661539e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.661485830661478e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.671725830661417e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.681965830661356e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.692205830661295e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.702445830661235e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.712685830661174e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.722925830661113e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.733165830661052e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.743405830660991e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.753645830660931e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.763885830660870e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.774125830660809e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.784365830660748e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.794605830660687e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.804845830660626e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.815085830660566e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.825325830660505e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.835565830660444e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.845805830660383e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.856045830660322e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.866285830660262e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.876525830660201e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.886765830660140e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.897005830660079e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.907245830660018e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.917485830659958e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.927725830659897e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.937965830659836e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.948205830659775e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.958445830659714e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.968685830659653e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.978925830659593e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.989165830659532e-03	6.781196e-01	4.999883e+00	4.983538e+02
2.999405830659471e-03	6.781196e-01	4.999883e+00	4.983538e+02
3.000000000000000e-03	6.781196e-01	4.999883e+00	4.983538e+02
Step Information: Rpot=125K  (Step: 4/6)
0.000000000000000e+00	6.781196e-01	4.999873e+00	4.983538e+02
1.006310719976990e-05	6.781196e-01	4.999873e+00	4.983538e+02
2.030310719977066e-05	6.781196e-01	4.999873e+00	4.983538e+02
3.054310719977230e-05	6.781196e-01	4.999873e+00	4.983538e+02
4.078310719977393e-05	6.781196e-01	4.999873e+00	4.983538e+02
5.102310719977557e-05	6.781196e-01	4.999873e+00	4.983538e+02
6.126310719977705e-05	6.781196e-01	4.999873e+00	4.983538e+02
7.150310719977175e-05	6.781196e-01	4.999873e+00	4.983538e+02
8.174310719976644e-05	6.781196e-01	4.999873e+00	4.983538e+02
9.198310719976114e-05	6.781196e-01	4.999873e+00	4.983538e+02
1.022231071997558e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.124631071997505e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.227031071997452e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.329431071997399e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.431831071997346e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.534231071997293e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.636631071997240e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.739031071997187e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.841431071997134e-04	6.781196e-01	4.999873e+00	4.983538e+02
1.943831071997081e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.046231071997028e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.148631071996975e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.251031071996922e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.353431071996869e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.455831071996817e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.558231071996763e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.660631071996710e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.763031071996657e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.865431071996604e-04	6.781196e-01	4.999873e+00	4.983538e+02
2.967831071996551e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.070231071996498e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.172631071996445e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.275031071996392e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.377431071996339e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.479831071996286e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.582231071996233e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.684631071996180e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.787031071996127e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.889431071996074e-04	6.781196e-01	4.999873e+00	4.983538e+02
3.991831071996021e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.094231071995968e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.196631071995915e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.299031071995862e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.401431071995809e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.503831071995756e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.606231071995703e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.708631071995650e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.811031071995597e-04	6.781196e-01	4.999873e+00	4.983538e+02
4.913431071995710e-04	6.781196e-01	4.999873e+00	4.983538e+02
5.000000000000004e-04	6.781196e-01	4.999873e+00	4.983538e+02
5.000010000000000e-04	6.382340e-01	4.999873e+00	3.752889e+02
5.000024805452893e-04	4.126318e-01	4.999873e+00	1.351277e+02
5.000028812522172e-04	3.207836e-01	4.999873e+00	1.075926e+02
5.000034780157607e-04	1.776667e-01	4.999873e+00	7.834965e+01
5.000040765146123e-04	3.105234e-02	4.999873e+00	5.906678e+01
5.000048303441335e-04	-1.477751e-01	4.999873e+00	4.373447e+01
5.000053126675652e-04	-2.317957e-01	4.999873e+00	3.746551e+01
5.000058124590371e-04	-2.591271e-01	4.999873e+00	3.279619e+01
5.000063285346663e-04	-2.569472e-01	4.999873e+00	2.934899e+01
5.000068609055439e-04	-2.572921e-01	4.999873e+00	2.681103e+01
5.000073845411073e-04	-2.568345e-01	4.999873e+00	2.501364e+01
5.000084318122342e-04	-2.560598e-01	4.999873e+00	2.265978e+01
5.000099698092424e-04	-2.548198e-01	4.999873e+00	2.080424e+01
5.000117381424657e-04	-2.532801e-01	4.999873e+00	1.961035e+01
5.000139918100582e-04	-2.513048e-01	4.999873e+00	1.849975e+01
5.000171644505381e-04	-2.484995e-01	4.999873e+00	1.714839e+01
5.000226865691539e-04	-2.436524e-01	4.999873e+00	1.504665e+01
5.000326865691539e-04	-2.349036e-01	4.999873e+00	1.186641e+01
5.000426865691540e-04	-2.262341e-01	4.999873e+00	9.362215e+00
5.000526865691540e-04	-2.176397e-01	4.999873e+00	7.389735e+00
5.000626865691541e-04	-2.090905e-01	4.999873e+00	5.836415e+00
5.000726865691541e-04	-2.006200e-01	4.999873e+00	4.612989e+00
5.000826865691542e-04	-1.921777e-01	4.999873e+00	3.649503e+00
5.000926865691542e-04	-1.838222e-01	4.999873e+00	2.890665e+00
5.001026865691543e-04	-1.754996e-01	4.999873e+00	2.293041e+00
5.001126865691543e-04	-1.672690e-01	4.999873e+00	1.822362e+00
5.001226865691544e-04	-1.590992e-01	4.999873e+00	1.451671e+00
5.001326865691544e-04	-1.510268e-01	4.999873e+00	1.159722e+00
5.001426865691545e-04	-1.430561e-01	4.999873e+00	9.297889e-01
5.001526865691545e-04	-1.351997e-01	4.999873e+00	7.486961e-01
5.001626865691546e-04	-1.274867e-01	4.999873e+00	6.060679e-01
5.001726865691546e-04	-1.199188e-01	4.999873e+00	4.937322e-01
5.001826865691547e-04	-1.125344e-01	4.999873e+00	4.052530e-01
5.001926865691547e-04	-1.053314e-01	4.999873e+00	3.355618e-01
5.002026865691548e-04	-9.834930e-02	4.999873e+00	2.806664e-01
5.002126865691548e-04	-9.158175e-02	4.999873e+00	2.374232e-01
5.002226865691549e-04	-8.506551e-02	4.999873e+00	2.033561e-01
5.002326865691549e-04	-7.878829e-02	4.999873e+00	1.765155e-01
5.002426865691550e-04	-7.278148e-02	4.999873e+00	1.553657e-01
5.002526865691550e-04	-6.702614e-02	4.999873e+00	1.386977e-01
5.002626865691551e-04	-6.154743e-02	4.999873e+00	1.255593e-01
5.002726865691551e-04	-5.632014e-02	4.999873e+00	1.152007e-01
5.002826865691552e-04	-5.136380e-02	4.999873e+00	1.070316e-01
5.002926865691552e-04	-4.664822e-02	4.999873e+00	1.005871e-01
5.003026865691553e-04	-4.218869e-02	4.999873e+00	9.550119e-02
5.003126865691553e-04	-3.795167e-02	4.999873e+00	9.148569e-02
5.003226865691554e-04	-3.394989e-02	4.999873e+00	8.831365e-02
5.003326865691554e-04	-3.014828e-02	4.999873e+00	8.580639e-02
5.003426865691555e-04	-2.655832e-02	4.999873e+00	8.382319e-02
5.003526865691555e-04	-2.314454e-02	4.999873e+00	8.225323e-02
5.003626865691556e-04	-1.991831e-02	4.999873e+00	8.100923e-02
5.003726865691556e-04	-1.684469e-02	4.999873e+00	8.002246e-02
5.003826865691556e-04	-1.393564e-02	4.999873e+00	7.923874e-02
5.003926865691557e-04	-1.115729e-02	4.999873e+00	7.861540e-02
5.004026865691557e-04	-8.522547e-03	4.999873e+00	7.811882e-02
5.004126865691558e-04	-5.998856e-03	4.999873e+00	7.772246e-02
5.004226865691558e-04	-3.600236e-03	4.999873e+00	7.740542e-02
5.004326865691559e-04	-1.295495e-03	4.999873e+00	7.715121e-02
5.004426865691559e-04	9.002418e-04	4.999873e+00	7.694681e-02
5.004526865691560e-04	3.016849e-03	4.999873e+00	7.678194e-02
5.004626865691560e-04	5.038179e-03	4.999873e+00	7.664850e-02
5.004726865691561e-04	6.992903e-03	4.999873e+00	7.654005e-02
5.004826865691561e-04	8.863974e-03	4.999873e+00	7.645154e-02
5.004926865691562e-04	1.067900e-02	4.999873e+00	7.637894e-02
5.005026865691562e-04	1.242017e-02	4.999873e+00	7.631908e-02
5.005126865691563e-04	1.411416e-02	4.999873e+00	7.626943e-02
5.005226865691563e-04	1.574254e-02	4.999873e+00	7.622799e-02
5.005326865691564e-04	1.733117e-02	4.999873e+00	7.619317e-02
5.005426865691564e-04	1.886112e-02	4.999873e+00	7.616371e-02
5.005526865691565e-04	2.035757e-02	4.999873e+00	7.613859e-02
5.005626865691565e-04	2.180117e-02	4.999873e+00	7.611702e-02
5.005726865691566e-04	2.321654e-02	4.999873e+00	7.609835e-02
5.005826865691566e-04	2.458399e-02	4.999873e+00	7.608206e-02
5.005926865691567e-04	2.592764e-02	4.999873e+00	7.606774e-02
5.006026865691567e-04	2.722755e-02	4.999873e+00	7.605506e-02
5.006126865691568e-04	2.850743e-02	4.999873e+00	7.604375e-02
5.006226865691568e-04	2.974715e-02	4.999873e+00	7.603358e-02
5.006326865691569e-04	3.097003e-02	4.999873e+00	7.602440e-02
5.006426865691569e-04	3.215580e-02	4.999873e+00	7.601604e-02
5.006526865691570e-04	3.332749e-02	4.999873e+00	7.600839e-02
5.006626865691570e-04	3.446471e-02	4.999873e+00	7.600135e-02
5.006726865691571e-04	3.559019e-02	4.999873e+00	7.599483e-02
5.006826865691571e-04	3.668348e-02	4.999873e+00	7.598880e-02
5.006926865691572e-04	3.776708e-02	4.999873e+00	7.598317e-02
5.007026865691572e-04	3.882048e-02	4.999873e+00	7.597790e-02
5.007126865691573e-04	3.986595e-02	4.999873e+00	7.597295e-02
5.007226865691573e-04	4.088296e-02	4.999873e+00	7.596830e-02
5.007326865691574e-04	4.189360e-02	4.999873e+00	7.596390e-02
5.007426865691574e-04	4.287731e-02	4.999873e+00	7.595974e-02
5.007526865691575e-04	4.385599e-02	4.999873e+00	7.595580e-02
5.007626865691575e-04	4.480912e-02	4.999873e+00	7.595205e-02
5.007726865691576e-04	4.575840e-02	4.999873e+00	7.594849e-02
5.007826865691576e-04	4.668333e-02	4.999873e+00	7.594509e-02
5.007926865691577e-04	4.760547e-02	4.999873e+00	7.594185e-02
5.008026865691577e-04	4.850435e-02	4.999873e+00	7.593875e-02
5.008126865691578e-04	4.940137e-02	4.999873e+00	7.593578e-02
5.008226865691578e-04	5.027608e-02	4.999873e+00	7.593293e-02
5.008326865691579e-04	5.114978e-02	4.999873e+00	7.593021e-02
5.008426865691579e-04	5.200204e-02	4.999873e+00	7.592759e-02
5.008526865691580e-04	5.285403e-02	4.999873e+00	7.592507e-02
5.008626865691580e-04	5.368538e-02	4.999873e+00	7.592265e-02
5.008726865691581e-04	5.451712e-02	4.999873e+00	7.592031e-02
5.008826865691581e-04	5.532894e-02	4.999873e+00	7.591807e-02
5.008926865691581e-04	5.614175e-02	4.999873e+00	7.591590e-02
5.009026865691582e-04	5.693528e-02	4.999873e+00	7.591381e-02
5.009126865691582e-04	5.773036e-02	4.999873e+00	7.591179e-02
5.009226865691583e-04	5.850675e-02	4.999873e+00	7.590985e-02
5.009326865691583e-04	5.928518e-02	4.999873e+00	7.590796e-02
5.009426865691584e-04	6.004547e-02	4.999873e+00	7.590614e-02
5.009526865691584e-04	6.080823e-02	4.999873e+00	7.590437e-02
5.009626865691585e-04	6.155337e-02	4.999873e+00	7.590266e-02
5.009726865691585e-04	6.230137e-02	4.999873e+00	7.590101e-02
5.009826865691586e-04	6.303222e-02	4.999873e+00	7.589940e-02
5.009926865691586e-04	6.376631e-02	4.999873e+00	7.589785e-02
5.010026865691587e-04	6.448366e-02	4.999873e+00	7.589634e-02
5.010126865691587e-04	6.520458e-02	4.999873e+00	7.589487e-02
5.010226865691588e-04	6.590918e-02	4.999873e+00	7.589345e-02
5.010326865691588e-04	6.661765e-02	4.999873e+00	7.589207e-02
5.010426865691589e-04	6.731016e-02	4.999873e+00	7.589073e-02
5.010526865691589e-04	6.800683e-02	4.999873e+00	7.588942e-02
5.010626865691590e-04	6.868789e-02	4.999873e+00	7.588815e-02
5.010726865691590e-04	6.937335e-02	4.999873e+00	7.588691e-02
5.010826865691591e-04	7.004352e-02	4.999873e+00	7.588571e-02
5.010926865691591e-04	7.071833e-02	4.999873e+00	7.588454e-02
5.011026865691592e-04	7.137816e-02	4.999873e+00	7.588340e-02
5.011126865691592e-04	7.204285e-02	4.999873e+00	7.588229e-02
5.011226865691593e-04	7.269283e-02	4.999873e+00	7.588121e-02
